date,asset,taxonomy_category,manual_review_priority,weak_supervision_score,transparent_risk_score,anomaly_ensemble_score,lf_vote_count,weak_label_3d,weak_label_7d,event_ids_7d,event_type_list_7d,severity_list_7d,log_return,abs_log_return,volume_z_30d,intraday_range_z_30d,drawdown_30d,stablecoin_peg_deviation,dex_volume_z_30d,chain_tvl_z_30d,review_note,claim_boundary
2023-03-11,USDC,event_window_hit_3d,high,99.9956472534169,100.0,1.0,7,1,1,E003,stablecoin_depeg,high,-0.0283928913003175,0.0283928913003175,4.247235213985159,5.294398995235628,-0.0287865702198393,0.0285000205039978,2.488102934671,-2.1539885627355755,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2023-03-12,USDC,event_window_hit_3d,high,99.9956472534169,99.88682858883956,0.9987812309567335,7,1,1,E003,stablecoin_depeg,high,0.0209514196194405,0.0209514196194405,1.891513353292975,1.7405323555454009,-0.0082236107067468,0.0079309940338135,2.5017076595794925,-2.4210787240925464,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-11-09,SOL,event_window_hit_3d,high,99.80847915034389,99.96517802733524,1.0,6,1,1,E002,exchange_failure,high,-0.5495821084962169,0.5495821084962169,2.4352872698357046,4.757991953704207,-0.6208195872887149,0.0,2.927581869113105,-3.6393797190895056,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-05-11,USDT,event_window_hit_3d,high,99.80847915034389,99.98258901366762,0.9972577696526508,6,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,0.0039275271824075,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,3.274289373971136,-2.802849274297959,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-05-11,BTC,event_window_hit_3d,high,99.80847915034389,99.75624619134676,0.9539914686166971,6,1,1,E001,stablecoin_depeg,high,-0.0696270636865197,0.0696270636865197,2.3662781876531844,2.7431096203378713,-0.3027846234586865,0.0,3.274289373971136,-2.725060037280891,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-05-11,USDT,event_window_hit_3d,high,99.80847915034389,99.9912945068338,0.9975624619134674,6,1,1,E001,stablecoin_depeg,high,-0.0039275271824075,0.0039275271824075,2.661228037617444,5.2883494176288615,-0.0045609899696827,0.0041279792785644,3.274289373971136,-2.802849274306976,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-05-12,USDT,event_window_hit_3d,high,99.80847915034389,99.89553408200574,0.9966483851310176,6,1,1,E001,stablecoin_depeg,high,0.0017426792257216,0.0017426792257216,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,2.5973990779141833,-3.6098844000913153,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-05-12,USDT,event_window_hit_3d,high,99.80847915034389,99.90423957517194,0.9969530773918344,6,1,1,E001,stablecoin_depeg,high,0.0017426792257216,0.0017426792257216,2.050687145807687,5.251685977167206,-0.0027340781033746,0.00239098072052,2.5973990779141833,-3.609884400097608,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2023-06-10,BNB,event_window_hit_7d,high,99.80847915034389,99.79106816401148,0.9823278488726388,6,0,1,E004,regulatory_action,medium,-0.0865958510066464,0.0865958510066464,2.5591368324763706,3.009060602514035,-0.239224097958429,0.0,2.5000864407569785,-2.3616542413696355,Alert falls within a wider public incident window. This is weak-label evidence only.,"False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
2022-05-09,BTC,event_window_hit_3d,high,99.80847915034389,99.87812309567336,0.9817184643510056,6,1,1,E001,stablecoin_depeg,high,-0.1170549632581519,0.1170549632581519,2.6325689120126095,3.2612181520249326,-0.2821932179835493,0.0,3.1011496912250793,-2.5161096085032635,"Alert falls within a tight public incident window. This supports weak-label alignment, not verified fraud detection.","False-alert taxonomy is an error-review framework. Non-event-window alerts are not proof of model failure, and event-window hits are not verified fraud ground truth."
